City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Average Monthly Spending,Is_New_Customer,Is_Long_Term,High_Monthly_Charges
0.4982269503546099,0.00032467532467528315,0.1497191403335152,0.5963898001982688,1.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35422885572139307,0.010310408492960998,1,0.44542833607907745,1.0,0.0,0.0
0.4982269503546099,0.0006493506493505663,0.1598347022564348,0.5929632681342216,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5218905472636816,0.015330025386568198,1,0.6245881383855024,1.0,0.0,1.0
0.4982269503546099,0.000811688311689096,0.15863678158646666,0.5942955170965032,0.0,0.0,0.0,1.0,0.1111111111111111,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8099502487562189,0.09251096238172168,1,0.844831136738056,1.0,0.0,1.0
0.4982269503546099,0.0014610389610396624,0.16013705284086788,0.5921432628139307,0.0,0.0,1.0,1.0,0.38888888888888884,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8611940298507462,0.3493249480729287,1,0.8961079077429984,0.0,1.0,1.0
0.4982269503546099,0.0022727272727287584,0.15770240771636113,0.597031835972027,1.0,0.0,0.0,1.0,0.6805555555555555,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8502487562189055,0.578986845141934,1,0.8466361833036344,0.0,1.0,1.0
0.4982269503546099,0.003084415584416078,0.16058802723579158,0.5927210950103152,0.0,0.0,1.0,0.0,0.1388888888888889,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.36766169154228856,0.05879875375028849,1,0.4352141680395387,1.0,0.0,0.0
0.4982269503546099,0.0034090909090913613,0.15606371857836976,0.6078852083564374,1.0,1.0,0.0,0.0,0.013888888888888888,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.21293532338308457,0.0024059543041772442,1,0.32660626029654033,1.0,0.0,0.0
0.4982269503546099,0.0037337662337666444,0.1605812232845243,0.5802947844436606,1.0,0.0,0.0,0.0,0.013888888888888888,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.018905472636815884,0.00015578121393953342,1,0.1659802306425041,1.0,0.0,0.0
0.4982269503546099,0.004383116883117211,0.16414968310065392,0.591041810378643,1.0,0.0,1.0,1.0,0.6527777777777778,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8069651741293532,0.545851603969536,1,0.832337270847208,0.0,1.0,1.0
0.4982269503546099,0.0045454545454557405,0.1630954959012043,0.5942093517407336,1.0,0.0,1.0,0.0,0.013888888888888888,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.11890547263681589,0.0013154858066005077,1,0.2487644151565074,1.0,0.0,0.0
